"percentile","potential","actual"
0.05,38238.3417278795,24767.5895263672
0.1,43754.7519090763,30278.7910705566
0.15,45258.2947869234,33013.7599365234
0.2,48535.1837705313,35821.7600952148
0.25,52731.9318193606,38309.4400634766
0.3,57197.7166238292,40955.2001586914
0.35,61269.202811929,43288.9602539063
0.4,66621.2559878764,46634.9866455078
0.45,72530.1299685164,50115.519555664
0.5,76309.3378641088,53383.2991821289
0.55,83130.3078667433,58201.1077514648
0.6,90076.4552314909,63146.0268676758
0.65,97000.7834290012,69372.1596191406
0.7,105574.655716951,76327.6801269531
0.75,113994.028055393,85034.5612060547
0.8,124420.493897059,96035.5814208984
0.85,137425.864927693,110657.18828125
0.9,154657.69545918,134689.705566406
0.95,193564.995991877,185511.496777344
